Effect ID,Name (VN),Name (EN),Category,Is Removable,Removal Condition,Duration Type,Default Duration,Stat Affected,Modifier Type,Modifier Value,Can Stack,Max Stacks,Trigger,Source Type,Source Examples,Visual Cue,Balance Notes,Description (VN),Icon Key
eff_bleed,Chảy Máu,Bleed,dot,Yes,,turns,3,hp,flat_per_turn,-3,Yes,3,on_turn_start,,"Cắt Sâu (Warrior), Kẻ Đào Mộ, Pin Down",,,Gây X sát thương mỗi đầu lượt. Chồng tối đa 3 lần. Mỗi chồng tính riêng.,icon_bleed
eff_burn,Bốc Lửa,Burn,dot,Yes,,turns,2,hp,flat_per_turn,-2 to -5,Yes,5,on_turn_start,,"Flame Bolt, Fire Ring, Lava Pool, Fire Arrow",,,Gây X sát thương lửa/lượt. Stacks tích lũy; Ignite kích nổ toàn bộ stacks x3.,icon_burn
eff_poison,Trúng Độc,Poison,dot,Yes,,turns,3,hp,flat_per_turn,-4,Yes,3,on_turn_start,,"Dao Độc, Mass Poison, Plague (disease)",,,Gây X độc/lượt. Chồng tối đa 3 lần. Khác burn: không thể bị kích nổ.,icon_poison
eff_regen,Hồi Sinh Lực,Regeneration,hot,Yes,,turns,4,hp,flat_per_turn,+4 to +6,No,1,on_turn_start,,"Nature's Embrace, Healing Totem, item_regen_ring",,,Hồi X HP mỗi đầu lượt trong N lượt. Không chồng — lần mới ghi đè lần cũ.,
eff_doom,Đại Kiếp,Doom,dot,Yes,,countdown,4,hp,instant_kill,on_expire,No,1,on_turn_start,,Void Rift (Mage),,,"Đếm ngược N lượt. Khi hết, mục tiêu chết ngay lập tức. Tăng Lữ Tẩy Uế hoặc Thánh Kỵ Sĩ Tẩy Trần có thể xóa.",
eff_dmg_buff,Tăng Sát Thương,DMG Up,buff,Yes,,turns,2,dmg,percent,+15 to +40%,No,1,passive,,"Rage (Berserker), War Banner (Warrior), War Totem (Shaman)",,,Tăng X% sát thương trong N lượt. Không chồng — giá trị cao hơn ghi đè.,icon_buff_dmg
eff_def_buff,Tăng Phòng Thủ,DEF Up,buff,Yes,,turns,2,dmg_received,percent,-30 to -60%,No,1,passive,,"Shield Wall, Bark Skin, Holy Shield (Cleric)",,,Giảm X% sát thương nhận vào trong N lượt.,
eff_spd_buff,Tăng Tốc Độ,Speed Up,buff,Yes,,turns,2,speed,flat,+3 to +5,No,1,passive,,"Battle Song (Bard), Swift Step (Monk), Hawk Form (Druid)",,,"Tăng X tốc độ trong N lượt, ảnh hưởng thứ tự turn.",
eff_crit_buff,Tăng Chí Mạng,Crit Up,buff,Yes,,turns,2,crit,percent,+20%,No,1,passive,,"Inspiring Melody (Bard), Confident (trait)",,,Tăng X% tỷ lệ crit trong N lượt. Đòn tiếp theo đảm bảo crit nếu giá trị = guaranteed.,
eff_absorb,Khiên Hấp Thụ,Absorb Shield,buff,Yes,,turns,2,dmg_received,flat_absorb,15 to 20,No,1,on_hit,,"Arcane Shield (Mage), Divine Shield (Paladin), Ward Charm (item)",,,Hấp thụ N sát thương tiếp theo trước khi HP bị ảnh hưởng. Mất hiệu lực khi hết số lượng hoặc hết lượt.,icon_shield
eff_taunt,Khiêu Chiến,Taunt,buff,Yes,,turns,2,enemy_targeting,force_target,self,No,1,passive,,"Taunt (Warrior), Thánh Kỵ Sĩ Hy Sinh",,,Buộc tất cả địch nhắm vào hero đang Taunt trong N lượt.,icon_taunt
eff_dodge,Né Tránh,Evasion,buff,Yes,,turns,2,dodge,percent,+20 to +35%,No,1,passive,,"Evasion Stance (Assassin), Swift Step (Monk)",,,Tăng tỷ lệ né tránh X% trong N lượt.,
eff_stress_immune,Miễn Stress,Stress Immunity,buff,Yes,,turns,3,stress,immunity,100%,No,1,passive,,Awakened Mind (Monk),,,Hoàn toàn miễn nhiễm mọi nguồn stress trong N lượt. Không thể vào Affliction.,
eff_invincible,Bất Khả Xâm Phạm,Invincible,buff,Yes,,turns,1 to 2,hp,immunity,100%,No,1,passive,,"Aegis (Paladin), Sanctuary (Cleric), Transcendence (Monk)",,,Miễn nhiễm hoàn toàn mọi sát thương trong N lượt. Stress vẫn có thể tăng.,
eff_reflect_dmg,Phản Sát Thương,Damage Reflect,buff,Yes,,turns,2,reflect,percent,30%,No,1,on_hit,,"Damage Reflect (Warrior), Backdraft (Pyromancer)",,,Phản X% sát thương nhận được về phía kẻ tấn công.,
eff_reflect_spell,Phản Phép,Spell Mirror,buff,Yes,,triggered,1,reflect,skill,next_skill,No,1,on_skill_hit,,Spell Mirror (Mage),,,Phản chiếu kỹ năng tiếp theo nhắm vào hero về phía người dùng. Chỉ dùng 1 lần rồi hết.,
eff_preemptive_heal,Chữa Lành Phòng Ngừa,Preemptive Heal,buff,Yes,,triggered,unlimited,hp,flat,+12 when hp<25%,No,1,on_hp_threshold,,Divine Blessing (Cleric),,,Tự động hồi HP khi HP giảm xuống ngưỡng định sẵn. Trigger không tốn lượt.,
