Skill ID,Name (VN),Name (EN),User Type,Is Offensive,Target Type,Damage Multiplier,Accuracy Modifier,Cooldown,Effect ID,Effect Value,Stress Damage,Description (VN)
sk_e_stab,Đâm,Stab,Goblin,Yes,Front Hero,1.0,0,0,,,0,Đòn đâm cơ bản của Goblin. Nhắm hero hàng trước.
sk_e_curse,Nguyền Rủa,Curse,Shadow Wisp,Yes,Random Hero,0.8,+5,1,eff_acc_debuff,-15 ACC 2 turns,5,Nguyền hero ngẫu nhiên: giảm accuracy 2 lượt và gây stress nhẹ.
sk_e_drain_light,Hút Sáng,Drain Light,Shadow Wisp,Yes,Single Hero,0.6,0,2,eff_dmg_debuff,-10% dmg 2 turns,8,Hút sinh khí: giảm sát thương hero 2 lượt và gây stress.
sk_e_bone_club,Chùy Xương,Bone Club,Skeleton,Yes,Front Hero,1.1,0,0,,,0,Đòn chùy nặng của Skeleton. Sát thương cao hơn cơ bản 10%.
sk_e_dark_bolt,Tia Bóng Tối,Dark Bolt,Skeleton Mage,Yes,Back Hero,0.9,0,1,eff_burn,2 stacks burn,0,"Phép tầm xa: nhắm hero hàng sau, áp 2 chồng burn."
sk_e_self_heal,Tự Chữa Lành,Self Heal,Goblin Shaman,No,Self,0,0,2,eff_regen,+5 HP/turn 2 turns,0,Tự hồi máu cho bản thân: regen 5 HP/lượt trong 2 lượt.
sk_e_b01_smash,Đập Đất,Ground Smash,Giant Zombie,Yes,Front 2 Heroes,1.2,0,1,eff_stun,30% chance 1 turn,5,"Boss đập tay xuống đất gây dmg AoE 2 hero hàng trước, 30% stun 1 lượt."
sk_e_b01_putrid_breath,Hơi Thở Thối Rữa,Putrid Breath,Giant Zombie,Yes,All Heroes,0.6,0,3,eff_poison,3/turn x3,10,"AoE toàn party, sát thương nhỏ + áp Poison 3/lượt x3 lượt + 10 stress."
sk_e_b01_enrage,Cuồng Nộ,Enrage,Giant Zombie,No,Self,0,+10,0,eff_dmg_buff,+50% dmg permanent,15,Tự kích hoạt khi HP<30% (1 lần/trận). Tăng 50% dmg vĩnh viễn + 10 ACC. Gây 15 stress toàn party.
sk_e_b02_phantom_blade,Lưỡi Bóng Ma,Phantom Blade,Whispering Shade,Yes,Single Hero,1.3,+5,0,eff_acc_debuff,-10 ACC 2 turns,8,"Đòn lưỡi obsidian từ bóng tối: dmg cao + giảm accuracy hero bị đánh + stress 8."
sk_e_b02_drain_stress,Hút Tinh Thần,Drain Stress,Whispering Shade,Yes,All Heroes,0.5,0,2,eff_stress_tick,+5 stress all immediate,5,"AoE: dmg nhỏ + áp 5 stress ngay lập tức toàn party + 5 stress trên hit."
sk_e_b02_haunting_aura,Hào Quang Ám Ảnh,Haunting Aura,Whispering Shade,No,Random Hero,0,0,0,eff_perm_stress_tick,Haunted Soul vĩnh viễn +2 stress/lượt,12,"Trigger HP<60% 1 lần/trận. Áp Hồn Ma Ám Ảnh (perm stress tick +2/lượt) lên random hero — chỉ Tẩy Trần xóa được."
sk_e_b02_form_shift,Đổi Hình Hollow Echo,Form Shift Hollow Echo,Whispering Shade,No,Self,0,0,0,eff_dmg_buff,+30% dmg perm; -50% maxHP; immune first hit,15,"Trigger HP<30% 1 lần/trận. Đổi form: +30% dmg vĩnh viễn, -50% max HP, miễn nhiễm đòn tiếp theo. Gây 15 stress all."
sk_e_b03_heart_pulse,Nhịp Tim Đen,Heart Pulse,Black Heart,Yes,All Heroes,0.4,0,2,eff_stress_tick,+10 stress all,5,"AoE mỗi 2 lượt: dmg nhỏ + 10 stress toàn party + 5 stress trên hit. Phase 1 default."
sk_e_b03_mirror_form,Hình Phản Chiếu,Mirror Form,Black Heart,No,Self,0,0,0,,4 skill default of random hero (mechanic-only),10,"Trigger HP<75% và HP<50%: chọn random hero, sao chép 4 skill default. Boss tự dùng combo của hero đó từ giờ. +10 stress all. (mechanic — không dùng eff_)."
sk_e_b03_true_heart,Trái Tim Thật,True Heart Awaken,Black Heart,Yes,All Heroes,1.2,+10,0,eff_perm_sr_down,-15% stress resist permanent all,15,"Trigger HP<25% 1 lần/trận. Ngừng sao chép. Áp Linh Hồn Mòn Mỏi (perm -15% kháng stress) lên toàn party. Dmg AoE cao + 15 stress all."
sk_e_b03_final_whisper,Tiếng Thì Thầm Cuối,Final Whisper,Black Heart,Yes,All Heroes,0.8,0,0,eff_stress_tick,+30 stress all immediate / +50% Affliction chance,30,"Trigger HP<10% 1 lần/trận. Gọi giọng nói của Soul Warden: 30 stress all + 50% chance áp Affliction ngay lập tức trên mỗi hero (affliction là mechanic riêng)."
sk_e_mb01_echo_strike,Đòn Tiếng Vọng,Echo Strike,Echo Wraith,Yes,Front 2 Heroes,1.0,0,0,,,4,Đánh AoE 2 hero hàng trước. Mỗi hero bị đánh phát ra 'echo' gây thêm 4 stress.
