Rarity,Name (VN),Name (EN),Hero ID,Role,Position,Base HP,Base DMG Min,Base DMG Max,Base Accuracy,Base Crit,Speed,Base Stress Resist,LevelUp HP,LevelUp DMG,LevelUp Crit,LevelUp Stress Resist,Default Skills,Available Skills,Notes
Rare,Du Ca,Bard,hero_11,Support,Back,22,3,6,82,0.06,7,0.28,2,1,0.005,0.03,"sk_bd1,sk_bd2,sk_bd3,sk_bd4","sk_bd1,sk_bd2,sk_bd3,sk_bd4,sk_bd5,sk_bd6,sk_bd7,sk_bd8,sk_bd9,sk_bd10",Chuyên gia kiểm soát stress đội. Không thể bị Affliction khi đang dùng kỹ năng hát. Buff crit cực mạnh.
Rare,Thánh Kỵ Sĩ,Paladin,hero_07,Tank / Support,Front,34,6,10,85,0.08,3,0.3,4,1,0.005,0.03,"sk_p1,sk_p2,sk_p3,sk_p4","sk_p1,sk_p2,sk_p3,sk_p4,sk_p5,sk_p6,sk_p7,sk_p8,sk_p9,sk_p10",Kháng stress cao nhất game. Aura Thánh thụ động giảm 3 stress/lượt toàn đội. Giải trừ debuff hiệu quả.
Common,Tăng Lữ,Cleric,hero_03,Support / Heal,Back,24,3,6,83,0.05,4,0.28,3,1,0.005,0.03,"sk_c1,sk_c2,sk_c3,sk_c4","sk_c1,sk_c2,sk_c3,sk_c4,sk_c5,sk_c6,sk_c7,sk_c8,sk_c9,sk_c10","Hỗ trợ toàn diện: hồi HP, giải bệnh, giảm stress. Đặc biệt hiệu quả khi đội gặp nhiều Undead."
Legendary,Võ Thánh,Monk,hero_13,DPS / Utility,Front,26,5,9,90,0.12,8,0.25,3,1,0.015,0.025,"sk_mk1,sk_mk2,sk_mk3,sk_mk4","sk_mk1,sk_mk2,sk_mk3,sk_mk4,sk_mk5,sk_mk6,sk_mk7,sk_mk8,sk_mk9,sk_mk10",Liên Hoàn Quyền 3 đòn/lượt cộng dồn với bleed/burn. Thiền Định reset stress về 0 — giải pháp chống Affliction.
Rare,Thầy Cúng,Shaman,hero_09,Support / Utility,Back,22,5,8,80,0.07,5,0.22,2,1,0.005,0.025,"sk_sh1,sk_sh2,sk_sh3,sk_sh4","sk_sh1,sk_sh2,sk_sh3,sk_sh4,sk_sh5,sk_sh6,sk_sh7,sk_sh8,sk_sh9,sk_sh10","Hệ thống Totem đặt được trong chiến đấu, mỗi loại totem có hiệu ứng khác nhau kéo dài 3 lượt."
Legendary,Pháp Sư Tự Nhiên,Druid,hero_14,Hybrid,Any,28,5,9,84,0.08,5,0.22,3,1,0.01,0.02,"sk_dr1,sk_dr2,sk_dr3,sk_dr4","sk_dr1,sk_dr2,sk_dr3,sk_dr4,sk_dr5,sk_dr6,sk_dr7,sk_dr8,sk_dr9,sk_dr10",Biến Hình không tốn lượt giữa Dạng Gấu (Tank) và Dạng Chim (DPS). Kỹ năng thay đổi theo hình dạng.
Common,Chiến Binh,Warrior,hero_01,Tank / DPS,Front,31,6,10,85,0.08,3,0.2,3,1,0.01,0.02,"sk_w1,sk_w2,sk_w3,sk_w4","sk_w1,sk_w2,sk_w3,sk_w4,sk_w5,sk_w6,sk_w7,sk_w8,sk_w9,sk_w10","Lớp mở đầu lý tưởng. HP cao, kháng stress tốt. Cơ chế Taunt buộc địch tập trung vào Chiến Binh."
Legendary,Tử Linh Sư,Necromancer,hero_12,DPS / Summon,Back,22,7,12,85,0.1,5,0.15,3,2,0.01,0.015,"sk_n1,sk_n2,sk_n3,sk_n4","sk_n1,sk_n2,sk_n3,sk_n4,sk_n5,sk_n6,sk_n7,sk_n8,sk_n9,sk_n10","Khi địch chết, triệu hồi thành Bộ Xương (slot thứ 5 tạm thời). Nổ Xác kết hợp với summon tạo AoE cực mạnh."
Common,Cung Thủ,Archer,hero_05,DPS,Back,22,6,11,91,0.12,6,0.15,2,1,0.01,0.015,"sk_ar1,sk_ar2,sk_ar3,sk_ar4","sk_ar1,sk_ar2,sk_ar3,sk_ar4,sk_ar5,sk_ar6,sk_ar7,sk_ar8,sk_ar9,sk_ar10",Chính xác nhất trong game. Hệ thống Đánh Dấu giúp toàn đội tăng sát thương vào 1 mục tiêu.
Rare,Thuật Sĩ Ký Ước,Warlock,hero_10,DPS / Debuff,Back,20,8,14,85,0.1,6,0.12,2,2,0.01,0.01,"sk_wl1,sk_wl2,sk_wl3,sk_wl4","sk_wl1,sk_wl2,sk_wl3,sk_wl4,sk_wl5,sk_wl6,sk_wl7,sk_wl8,sk_wl9,sk_wl10",Dùng HP thay cooldown cho phép mạnh. Càng gần chết càng nguy hiểm — chiến thuật rủi ro cao.
Rare,Pháp Sư Hỏa,Pyromancer,hero_08,DPS (DoT),Back,18,9,15,85,0.12,6,0.1,2,2,0.01,0.01,"sk_py1,sk_py2,sk_py3,sk_py4","sk_py1,sk_py2,sk_py3,sk_py4,sk_py5,sk_py6,sk_py7,sk_py8,sk_py9,sk_py10",Chuyên gia damage theo thời gian. Kỹ năng Bùng Nổ kết hợp với burn stacks tạo combo xóa sổ boss.
Common,Cuồng Chiến,Berserker,hero_06,DPS,Front,28,7,13,80,0.1,5,0.08,3,2,0.01,0.01,"sk_b1,sk_b2,sk_b3,sk_b4","sk_b1,sk_b2,sk_b3,sk_b4,sk_b5,sk_b6,sk_b7,sk_b8,sk_b9,sk_b10",High-risk high-reward. Càng nhận đòn càng mạnh. HP <30% kích hoạt Bạo Nộ: bất tử 1 lượt + dmg x2.
Common,Sát Thủ,Assassin,hero_04,DPS,Any,18,9,16,88,0.15,8,0.1,2,2,0.015,0.01,"sk_a1,sk_a2,sk_a3,sk_a4","sk_a1,sk_a2,sk_a3,sk_a4,sk_a5,sk_a6,sk_a7,sk_a8,sk_a9,sk_a10","Tốc độ và crit cao nhất nhóm Common. Đòn Bóng Tối bypass vị trí, đánh thẳng hàng sau của địch."
Common,Pháp Sư,Mage,hero_02,DPS (AoE),Back,20,8,14,82,0.1,5,0.12,2,2,0.01,0.01,"sk_m1,sk_m2,sk_m3,sk_m4","sk_m1,sk_m2,sk_m3,sk_m4,sk_m5,sk_m6,sk_m7,sk_m8,sk_m9,sk_m10",Sát thương AoE mạnh nhất nhóm Common. Hệ thống Mana giới hạn số lần dùng phép lớn liên tiếp.
