Item ID,Name (VN),Name (EN),Category,Subcategory,Is Removable,Restricted To Class,Effect ID,Effect Value,Effect Duration,Secondary Effect ID,Secondary Effect Value,Rarity,Price (Gold),Can Drop,Can Buy,Description (VN)
item_c01,Bình Máu Nhỏ,Minor Health Potion,consumable,heal,Yes,All,eff_heal,15 HP,instant,,,Common,40,Yes,Yes,Hồi 15 HP ngay lập tức cho 1 hero. Tốn 1 lượt sử dụng.
item_c02,Bình Máu Lớn,Major Health Potion,consumable,heal,Yes,All,eff_heal,30 HP,instant,,,Uncommon,90,Yes,Yes,Hồi 30 HP ngay lập tức. Hiệu quả hơn nhưng hiếm gặp hơn.
item_c03,Hương Trầm Tĩnh Tâm,Calming Incense,consumable,stress,Yes,All,eff_stress_reduce,-20 stress all allies,instant,,,Common,60,Yes,Yes,Giảm 20 stress toàn đội ngay lập tức. Quan trọng khi sắp đến ngưỡng Affliction.
item_c04,Thuốc Giải Độc,Antidote,consumable,cleanse,Yes,All,eff_remove,poison/bleed/burn all stacks,instant,,,Common,50,Yes,Yes,"Xóa toàn bộ chồng Poison, Bleed và Burn khỏi 1 hero. Không xóa được debuff vĩnh viễn."
item_c05,Bình Năng Lượng,Energy Vial,consumable,cooldown,Yes,All,eff_reset_cd,all skills -1 cooldown,instant,,,Uncommon,80,Yes,Yes,Giảm tất cả cooldown của 1 hero xuống 1. Có thể dùng để kích hoạt kỹ năng đang cooldown.
item_c06,Đá Mài Kiếm,Whetstone,consumable,dmg_buff,Yes,All,eff_dmg_buff,+50% dmg next attack,1 attack,,,Common,35,Yes,Yes,Đòn tấn công tiếp theo của hero gây +50% sát thương. Hết hiệu lực sau 1 đòn.
item_c07,Bùa Hộ Mệnh,Ward Charm,consumable,absorb,Yes,All,eff_absorb,absorb next 20 dmg,1 hit,,,Uncommon,70,Yes,Yes,"Hấp thụ đòn tiếp theo nhắm vào hero, tối đa 20 dmg. Hết sau 1 lần kích hoạt."
item_c08,Thuốc Thần Kinh,Nerve Tonic,consumable,stress,Yes,All,eff_stress_immune,immune to stress,3 turns,,,Rare,120,Yes,Yes,Hero miễn nhiễm hoàn toàn mọi nguồn stress trong 3 lượt. Mạnh nhưng đắt.
item_c09,Hỗn Hợp Bùng Cháy,Combustion Flask,consumable,dot_apply,Yes,All,eff_burn,5 stacks burn,on hit,,,Uncommon,65,Yes,Yes,Ném vào địch: áp ngay 5 chồng burn. Kết hợp với Pyromancer Ignite để xóa sổ boss.
item_c10,Thuốc Độc Pha Chế,Crafted Poison,consumable,dot_apply,Yes,All,eff_poison,6/turn x4 turns,on hit,,,Uncommon,65,Yes,Yes,Áp Poison mạnh hơn bình thường: 6/lượt x4 lượt. Có thể chồng với Dao Độc.
item_c11,Tinh Chất Hổ Phách,Amber Essence,consumable,buff_apply,Yes,All,eff_dmg_buff,+25% dmg,3 turns,eff_spd_buff,+2 speed 3 turns,Rare,110,Yes,Yes,Kép: tăng 25% dmg và +2 tốc độ trong 3 lượt. Tiêu thụ 1 lượt hành động.
item_c12,Bình Sương Đêm,Shadowdust Vial,consumable,cc_apply,Yes,All,eff_acc_debuff,-30 ACC all enemies,2 turns,,,Rare,100,Yes,Yes,Tung bụi mù vào toàn bộ địch: giảm 30 accuracy trong 2 lượt. Đặc biệt hiệu quả trước boss.
item_t01,Nhẫn Máu,Blood Ring,trinket,passive,Yes,All,eff_lifesteal,+10% lifesteal on all attacks,combat,,,Uncommon,150,Yes,Yes,Thụ động: mọi đòn tấn công hồi 10% lượng sát thương gây ra cho bản thân.
item_t02,Bùa Bình An,Calm Amulet,trinket,passive,Yes,All,eff_stress_start,-8 stress at combat start,per combat,,,Uncommon,140,Yes,Yes,Bắt đầu mỗi chiến đấu với 8 stress ít hơn. Cộng dồn với bonus từ Hamlet.
item_t03,Găng Tay Thép,Iron Gauntlets,trinket,passive,Yes,All,eff_dmg_buff,+3 flat dmg,combat,eff_slow,-1 speed,Common,80,Yes,Yes,Tăng 3 sát thương cố định nhưng giảm 1 tốc độ. Đánh đổi tốt cho Tank.
item_t04,Mũ Bảo Hộ,Protective Helm,trinket,passive,Yes,All,eff_hp_boost,+8 max HP,permanent while equipped,eff_def_buff,+10% DEF,Common,100,Yes,Yes,Tăng 8 HP tối đa và 10% phòng thủ. Hết khi tháo ra.
item_t05,Áo Giáp Nhẹ,Light Armor,trinket,passive,Yes,All,eff_dodge,+15% dodge,combat,,,Common,90,Yes,Yes,Tăng 15% tỷ lệ né tránh. Tốt nhất cho Assassin hoặc Archer hàng sau.
item_t06,Ngọc Chí Mạng,Crit Gem,trinket,passive,Yes,All,eff_crit_buff,+8% crit,combat,,,Uncommon,130,Yes,Yes,Thụ động tăng 8% crit rate. Cực kỳ hiệu quả khi kết hợp với class có crit cao.
